"name","nok","usd","sector","ownership","country","id","type","voting"
"Alpha Metallurgical Resources Inc","31709240","3595845","Energy","0.32","United States","7342","equities","0.32"
"Ameresco Inc","21580779","2447272","Energy","0.06","United States","7360","equities","0.02"
"Antero Midstream Corp","287203459","32569028","Energy","0.7","United States","7398","equities","0.7"
"Archrock Inc","90114309","10219011","Energy","0.89","United States","7420","equities","0.89"
"Arcosa Inc","132976243","15079578","Energy","0.59","United States","7422","equities","0.59"
"Array Technologies Inc","997912575","113163827","Energy","5.34","United States","7432","equities","5.34"
"BP PLC","24515141811","2780030370","Energy","3.15","United Kingdom","6926","equities","3.15"
"Baker Hughes Co","4386595686","497442329","Energy","1.99","United States","7494","equities","1.99"
"Ballard Power Systems Inc","235149433","26666073","Energy","0.71","Canada","627","equities","0.71"
"Bashneft PJSC","129082800","14638059","Energy","0.21","Russia","5029","equities","0"
"CGG SA","147749320","16754853","Energy","3.25","France","1699","equities","3.25"
"CVR Energy Inc","33003327","3742595","Energy","0.22","United States","7792","equities","0.22"
"Cactus Inc","44257824","5018861","Energy","0.17","United States","7594","equities","0.17"
"Cameco Corp","601641925","68226520","Energy","0.79","Canada","643","equities","0.79"
"ChampionX Corp","1033890361","117243727","Energy","2.87","United States","7654","equities","2.87"
"ChargePoint Holdings Inc","289360053","32813587","Energy","0.51","United States","7656","equities","0.51"
"Cheniere Energy Inc","1309935889","148547440","Energy","0.58","United States","7668","equities","0.58"
"Chevron Corp","26974358065","3058906826","Energy","1.35","United States","7669","equities","1.35"
"Compleo Charging Solutions AG","25770020","2922334","Energy","0.87","Germany","1881","equities","0.87"
"Core Laboratories NV","72256708","8193950","Energy","0.79","Netherlands","7753","equities","0.79"
"CropEnergies AG","39975442","4533237","Energy","0.37","Germany","1886","equities","0.37"
"DMC Global Inc","3560691","403784","Energy","0.05","United States","7836","equities","0.05"
"DT Midstream Inc","406598516","46108492","Energy","0.99","United States","7856","equities","0.99"
"Delek US Holdings Inc","62051826","7036711","Energy","0.63","United States","7811","equities","0.63"
"Dril-Quip Inc","47493826","5385826","Energy","0.77","United States","7853","equities","0.77"
"Drilling Co of 1972 A/S/The","180298407","20445937","Energy","1.26","Denmark","1536","equities","1.26"
"Enagas SA","520765519","59055092","Energy","0.97","Spain","5809","equities","0.97"
"Enbridge Inc","5803505451","658120664","Energy","0.83","Canada","677","equities","0.83"
"Enerflex Ltd","53","6","Energy","0","Canada","678","equities","0"
"Eni SpA","10782199534","1222707272","Energy","2.44","Italy","2851","equities","2.44"
"Enphase Energy Inc","1607347682","182274098","Energy","0.74","United States","7907","equities","0.74"
"Ensign Energy Services Inc","12","1","Energy","0","Canada","680","equities","0"
"Equitrans Midstream Corp","384595556","43613344","Energy","0.98","United States","7921","equities","0.98"
"Esso SA Francaise","71128","8066","Energy","0","France","1725","equities","0"
"Expro Group Holdings NV","493643","55979","Energy","0","Netherlands","7955","equities","0"
"Exxon Mobil Corp","27551990505","3124410658","Energy","1.21","United States","7957","equities","1.21"
"First Solar Inc","1740978091","197427859","Energy","2.13","United States","7989","equities","2.13"
"Fluence Energy Inc","452733080","51340177","Energy","0.84","United States","8003","equities","0.23"
"FuelCell Energy Inc","86700919","9831931","Energy","0.52","United States","8032","equities","0.52"
"Galp Energia SGPS SA","419386927","47558705","Energy","0.59","Portugal","4990","equities","0.59"
"Gazprom Neft PJSC","499529274","56646890","Energy","0.16","Russia","5034","equities","0.16"
"Gazprom PJSC","8219862873","932136905","Energy","0.86","Russia","5035","equities","0.86"
"Gaztransport Et Technigaz SA","519454103","58906377","Energy","1.7","France","1734","equities","1.7"
"Gibson Energy Inc","235500797","26705918","Energy","1.03","Canada","693","equities","1.03"
"Golar LNG Ltd","99921267","11331126","Energy","0.83","Bermuda","8072","equities","0.83"
"Grupa Lotos SA","447497007","50746403","Energy","1.81","Poland","4921","equities","1.81"
"Halliburton Co","4260077190","483095062","Energy","2.36","United States","8104","equities","2.36"
"Hellenic Petroleum Holdings SA","42019692","4765056","Energy","0.22","Greece","2064","equities","0.22"
"Helmerich & Payne Inc","218027045","24724385","Energy","0.97","United States","8134","equities","0.97"
"Hess Corp","2426895480","275211263","Energy","1.2","United States","8141","equities","1.2"
"HollyFrontier Corp","430914455","48865933","Energy","0.92","United States","8150","equities","0.92"
"Hunting PLC","51655839","5857800","Energy","1.55","United Kingdom","7039","equities","1.55"
"John Wood Group PLC","498462935","56525967","Energy","3.16","United Kingdom","7062","equities","3.16"
"KOC Holding AS","210804129","23905302","Energy","0.44","Turkey","6830","equities","0.44"
"Keyera Corp","437100149","49567394","Energy","1.02","Canada","707","equities","1.02"
"Kinder Morgan Inc","2080303879","235907587","Energy","0.66","United States","8299","equities","0.66"
"LUKOIL PJSC","3912671837","443699107","Energy","0.73","Russia","5044","equities","0.73"
"Lamprell PLC","12757425","1446699","Energy","0.73","Isle of Man","7073","equities","0.73"
"Lundin Energy AB","1481275180","167977408","Energy","1.64","Sweden","5978","equities","1.64"
"MOL Hungarian Oil & Gas PLC","135791609","15398842","Energy","0.24","Hungary","2245","equities","0.24"
"MRC Global Inc","3017600","342197","Energy","0.06","United States","8500","equities","0.06"
"Marathon Petroleum Corp","3552049300","402804316","Energy","1.02","United States","8404","equities","1.02"
"Maxeon Solar Technologies Ltd","18365073","2082609","Energy","0.34","Singapore","8429","equities","0.34"
"Motor Oil Hellas Corinth Refineries SA","189871568","21531539","Energy","1.24","Greece","2073","equities","1.24"
"NOV Inc","212167610","24059922","Energy","0.45","United States","8574","equities","0.45"
"NOW Inc","79723832","9040726","Energy","0.96","United States","8578","equities","0.96"
"Neste Oyj","3898412453","442082085","Energy","1.17","Finland","1628","equities","1.17"
"New Fortress Energy Inc","30222539","3427252","Energy","0.07","United States","8541","equities","0.07"
"Nordex SE","40843076","4631627","Energy","0.18","Germany","1978","equities","0.18"
"Novatek PJSC","818053148","92767670","Energy","0.13","Russia","5052","equities","0.13"
"OMV AG","1807603522","204983219","Energy","1.1","Austria","359","equities","1.1"
"OMV Petrom SA","138116165","15662448","Energy","0.24","Romania","5023","equities","0.24"
"ONEOK Inc","1609748414","182546343","Energy","0.7","United States","8611","equities","0.7"
"OX2 AB","66308793","7519453","Energy","0.42","Sweden","5996","equities","0.42"
"Oceaneering International Inc","101740444","11537421","Energy","1.02","United States","8590","equities","1.02"
"PBF Energy Inc","109169249","12379852","Energy","0.8","United States","8665","equities","0.8"
"Parkland Corp","401336228","45511746","Energy","1.08","Canada","739","equities","1.08"
"Pason Systems Inc","4290545","486550","Energy","0.06","Canada","740","equities","0.06"
"Patterson-UTI Energy Inc","139271951","15793515","Energy","0.87","United States","8660","equities","0.87"
"Pembina Pipeline Corp","1060189204","120226030","Energy","0.72","Canada","741","equities","0.72"
"Petrofac Ltd","85597756","9706832","Energy","1.2","Jersey","7131","equities","1.2"
"Petrol DD Ljubljana","14371051","1629685","Energy","0.14","Slovenia","5168","equities","0.14"
"Phillips 66","2371431941","268921668","Energy","0.85","United States","8688","equities","0.85"
"Plains GP Holdings LP","55644459","6310112","Energy","0.08","United States","8700","equities","0.08"
"Plug Power Inc","1811423063","205416357","Energy","1.26","United States","8707","equities","1.26"
"Pod Point Group Holdings PLC","63191151","7165911","Energy","1.25","United Kingdom","7139","equities","1.25"
"Polski Koncern Naftowy ORLEN SA","821677969","93178727","Energy","1.18","Poland","4948","equities","1.18"
"Polskie Gornictwo Naftowe i Gazownictwo SA","54390509","6167913","Energy","0.07","Poland","4949","equities","0.07"
"ProPetro Holding Corp","1925562","218360","Energy","0.03","United States","8739","equities","0.03"
"RPC Inc","3092390","350679","Energy","0.04","United States","8834","equities","0.04"
"Renewable Energy Group Inc","168229634","19077332","Energy","0.89","United States","8799","equities","0.89"
"Repsol SA","5133865635","582183146","Energy","3.21","Spain","5842","equities","3.21"
"Royal Dutch Shell PLC","52987679022","6008831523","Energy","3.56","United Kingdom","7167","equities","3.56"
"SBM Offshore NV","505588124","57333967","Energy","2.13","Netherlands","4762","equities","2.13"
"SFC Energy AG","40470657","4589394","Energy","0.98","Germany","2004","equities","0.98"
"SMA Solar Technology AG","72577918","8230375","Energy","0.56","Germany","2012","equities","0.56"
"Saipem SpA","73789466","8367765","Energy","0.39","Italy","2916","equities","0.39"
"Saras SpA","45299540","5136992","Energy","0.86","Italy","2920","equities","0.86"
"Saratovskiy Neftepererabatyvayuschiy Zavod PJSC","3231314","366433","Energy","0.25","Russia","5065","equities","0.33"
"Schlumberger NV","8191868996","928962385","Energy","2.21","Curacao","8861","equities","2.21"
"Schoeller-Bleckmann Oilfield Equipment AG","73802399","8369232","Energy","1.49","Austria","365","equities","1.49"
"Secure Energy Services Inc","37","4","Energy","0","Canada","755","equities","0"
"Select Energy Services Inc","8905451","1009883","Energy","0.15","United States","8878","equities","0.15"
"Shoals Technologies Group Inc","398790022","45223005","Energy","1.12","United States","8897","equities","1.12"
"Siemens Energy AG","1688062993","191427258","Energy","1.03","Germany","2008","equities","1.03"
"Siemens Gamesa Renewable Energy SA","3370106893","382171949","Energy","2.34","Spain","5844","equities","2.34"
"Snam SpA","1737336723","197014926","Energy","0.97","Italy","2926","equities","0.97"
"SolarEdge Technologies Inc","962714200","109172312","Energy","0.74","United States","8934","equities","0.74"
"Soltec Power Holdings SA","31114161","3528363","Energy","0.55","Spain","5846","equities","0.55"
"SunPower Corp","103669297","11756154","Energy","0.33","United States","8998","equities","0.33"
"Surgutneftegas PJSC","688435655","78068976","Energy","0.29","Russia","5071","equities","0.41"
"TC Energy Corp","3530030536","400307376","Energy","0.88","Canada","767","equities","0.88"
"Targa Resources Corp","549775923","62344888","Energy","0.52","United States","9021","equities","0.52"
"Technip Energies NV","597188393","67721487","Energy","2.58","Netherlands","1819","equities","2.58"
"TechnipFMC PLC","256663300","29105757","Energy","1.09","United Kingdom","1820","equities","1.09"
"Tecnicas Reunidas SA","55878806","6336687","Energy","1.43","Spain","5848","equities","1.43"
"Tenaris SA","451944080","51250704","Energy","0.41","Luxembourg","2937","equities","0.41"
"TotalEnergies SE","38242910882","4336766824","Energy","3.24","France","1824","equities","3.06"
"Transocean Ltd","166287282","18857068","Energy","1.04","Switzerland","9070","equities","1.04"
"Turkiye Petrol Rafinerileri AS","322963039","36624184","Energy","1.26","Turkey","6849","equities","1.26"
"VERBIO Vereinigte BioEnergie AG","397004650","45020542","Energy","1.04","Germany","2041","equities","1.04"
"Valero Energy Corp","2507110140","284307649","Energy","0.93","United States","9155","equities","0.93"
"Vestas Wind Systems A/S","5526949213","626759037","Energy","2.03","Denmark","1563","equities","2.03"
"Williams Cos Inc/The","2079574082","235824828","Energy","0.75","United States","9249","equities","0.75"
"World Fuel Services Corp","221018308","25063596","Energy","1.5","United States","9264","equities","1.5"
