"name","nok","usd","sector","ownership","country","id","type","voting"
"AB SA","49661500","5631641","Technology","2.6","Poland","4876","equities","2.4"
"ACM Research Inc","294492899","33395654","Technology","2.01","United States","7272","equities","0.76"
"AIXTRON SE","622348180","70574621","Technology","3.07","Germany","1851","equities","3.07"
"ALSO Holding AG","205727750","23329638","Technology","0.55","Switzerland","6052","equities","0.55"
"ANSYS Inc","2199202401","249390744","Technology","0.71","United States","7397","equities","0.71"
"ASM International NV","9369572517","1062514602","Technology","4.88","Netherlands","4719","equities","4.87"
"ASML Holding NV","64495578572","7313833570","Technology","2.24","Netherlands","4720","equities","2.24"
"AT&S Austria Technologie & Systemtechnik AG","304939535","34580309","Technology","1.81","Austria","344","equities","1.81"
"AVEVA Group PLC","148740277","16867228","Technology","0.12","United Kingdom","6903","equities","0.12"
"Acast AB","8984023","1018793","Technology","0.22","Sweden","5875","equities","0.22"
"Adesso SE","80180279","9092487","Technology","0.59","Germany","1847","equities","0.59"
"Adobe Inc","20670343312","2344028136","Technology","0.87","United States","7282","equities","0.87"
"Advanced Energy Industries Inc","262315786","29746752","Technology","0.87","United States","7289","equities","0.87"
"Advanced Micro Devices Inc","12229099046","1386786461","Technology","0.8","United States","7290","equities","0.8"
"Ailleron SA","9642228","1093434","Technology","2.97","Poland","4878","equities","2.25"
"Akamai Technologies Inc","1294918591","146844470","Technology","0.77","United States","7312","equities","0.77"
"Alarm.com Holdings Inc","373435940","42347838","Technology","1","United States","7313","equities","1"
"Alfa Financial Software Holdings PLC","33062428","3749297","Technology","0.49","United Kingdom","6885","equities","0.49"
"Allegro MicroSystems Inc","46846814","5312454","Technology","0.08","United States","7333","equities","0.08"
"Allscripts Healthcare Solutions Inc","148225030","16808799","Technology","0.74","United States","7337","equities","0.74"
"Almawave SpA","15092898","1711543","Technology","1.15","Italy","2801","equities","1.15"
"Alpha & Omega Semiconductor Ltd","21468257","2434512","Technology","0.15","Bermuda","7341","equities","0.15"
"Alphabet Inc","144417034064","16376969945","Technology","0.85","United States","7344","equities","0.65"
"Alphawave IP Group PLC","71592015","8118573","Technology","0.45","United Kingdom","6887","equities","0.45"
"Altair Engineering Inc","390667319","44301886","Technology","0.73","United States","7346","equities","0.17"
"Alten SA","1049393447","119001786","Technology","1.92","France","1665","equities","1.67"
"Alteryx Inc","314821502","35700929","Technology","0.87","United States","7347","equities","0.43"
"Amadeus IT Group SA","4909815410","556775729","Technology","1.82","Spain","5787","equities","1.82"
"Ambarella Inc","749041609","84941725","Technology","1.13","Cayman Islands","7353","equities","1.13"
"Amdocs Ltd","848934969","96269686","Technology","1.03","Guernsey","7357","equities","1.03"
"American Software Inc/GA","7958273","902472","Technology","0.1","United States","7372","equities","0.07"
"Amkor Technology Inc","162363668","18412128","Technology","0.3","United States","7386","equities","0.3"
"Amphenol Corp","4109418027","466010232","Technology","0.89","United States","7390","equities","0.89"
"Analog Devices Inc","9441733368","1070697682","Technology","1.16","United States","7392","equities","1.16"
"Anaplan Inc","531630230","60287156","Technology","0.89","United States","7393","equities","0.89"
"Appfolio Inc","168572575","19116221","Technology","0.46","United States","7408","equities","0.09"
"Appian Corp","182844746","20734693","Technology","0.45","United States","7410","equities","0.09"
"Apple Inc","216951926710","24602466089","Technology","0.84","United States","7412","equities","0.84"
"Applied Materials Inc","9822548806","1113882359","Technology","0.8","United States","7414","equities","0.8"
"Arrow Electronics Inc","797976767","90490998","Technology","0.97","United States","7433","equities","0.97"
"Asana Inc","203241788","23047729","Technology","0.17","United States","7438","equities","0.03"
"Ascential PLC","596700774","67666191","Technology","2.83","United Kingdom","6893","equities","2.83"
"Aspen Technology Inc","866311817","98240230","Technology","0.96","United States","7442","equities","0.96"
"Asseco Poland SA","113713120","12895129","Technology","0.72","Poland","4886","equities","0.72"
"Atlassian Corp PLC","3198331980","362692580","Technology","0.38","United Kingdom","7458","equities","0.08"
"Atos SE","823849276","93424954","Technology","1.98","France","1673","equities","1.98"
"Atoss Software AG","234228105","26561594","Technology","1.35","Germany","1857","equities","1.35"
"Atotech Ltd","18555697","2104226","Technology","0.04","Jersey","7461","equities","0.04"
"Auction Technology Group PLC","179598489","20366566","Technology","0.83","United Kingdom","6900","equities","0.83"
"Auto Trader Group PLC","1797724726","203862958","Technology","2.15","United Kingdom","6901","equities","2.15"
"Autodesk Inc","13165304942","1492952717","Technology","2.41","United States","7463","equities","2.41"
"Avalara Inc","731039186","82900240","Technology","0.74","United States","7468","equities","0.74"
"Avast PLC","1006005764","114081599","Technology","1.34","United Kingdom","6902","equities","1.34"
"Avaya Holdings Corp","148359259","16824020","Technology","1.01","United States","7473","equities","1.01"
"Avnet Inc","354156008","40161483","Technology","0.98","United States","7480","equities","0.98"
"Axcelis Technologies Inc","190551831","21608681","Technology","0.87","United States","7482","equities","0.87"
"Axway Software SA","9153691","1038034","Technology","0.16","France","1675","equities","0.09"
"Azenta Inc","878674852","99642204","Technology","1.29","United States","7490","equities","1.29"
"BE Semiconductor Industries NV","1248534003","141584433","Technology","2.11","Netherlands","4724","equities","2.11"
"Baltic Classifieds Group PLC","25625020","2905891","Technology","0.17","United Kingdom","6911","equities","0.17"
"Bandwidth Inc","138037357","15653511","Technology","0.87","United States","7498","equities","0.51"
"Barco NV","402243994","45614687","Technology","2.27","Belgium","394","equities","2.27"
"Be Shaping the Future SpA","49602122","5624908","Technology","1.32","Italy","2821","equities","1.32"
"Bechtle AG","1172260066","132934927","Technology","1.47","Germany","1866","equities","1.47"
